Station,Date(NZST),Amount(Hrs),Period(Hrs),Freq
"Auckland, North Shore Albany Ews",23/06/2014 23,4.4,24,D
"Auckland, North Shore Albany Ews",24/06/2014 23,6.7,24,D
"Auckland, North Shore Albany Ews",25/06/2014 23,0,24,D
"Auckland, North Shore Albany Ews",26/06/2014 23,2.3,24,D
"Auckland, North Shore Albany Ews",27/06/2014 23,3.2,24,D
"Auckland, North Shore Albany Ews",28/06/2014 23,6.2,24,D
"Auckland, North Shore Albany Ews",29/06/2014 23,3.2,24,D
"Auckland, North Shore Albany Ews",30/06/2014 23,0,24,D
"Auckland, North Shore Albany Ews",01/07/2014 23,3,24,D
"Auckland, North Shore Albany Ews",02/07/2014 23,3.8,24,D
"Auckland, North Shore Albany Ews",03/07/2014 23,5.2,24,D
"Auckland, North Shore Albany Ews",04/07/2014 23,6.6,24,D
"Auckland, North Shore Albany Ews",05/07/2014 23,5.7,24,D
"Auckland, North Shore Albany Ews",06/07/2014 23,2.9,24,D
"Auckland, North Shore Albany Ews",07/07/2014 23,0,24,D
"Auckland, North Shore Albany Ews",08/07/2014 23,0,24,D
"Auckland, North Shore Albany Ews",09/07/2014 23,0.4,24,D
"Auckland, North Shore Albany Ews",10/07/2014 23,0.1,24,D
"Auckland, North Shore Albany Ews",11/07/2014 23,0.1,24,D
"Auckland, North Shore Albany Ews",12/07/2014 23,0,24,D
"Auckland, North Shore Albany Ews",13/07/2014 23,5.4,24,D
"Auckland, North Shore Albany Ews",14/07/2014 23,0.9,24,D
"Auckland, North Shore Albany Ews",15/07/2014 23,7.6,24,D
"Auckland, North Shore Albany Ews",16/07/2014 23,8.2,24,D
"Auckland, North Shore Albany Ews",17/07/2014 23,8.2,24,D
"Auckland, North Shore Albany Ews",18/07/2014 23,8.1,24,D
"Auckland, North Shore Albany Ews",19/07/2014 23,2.2,24,D
"Auckland, North Shore Albany Ews",20/07/2014 23,1.1,24,D
"Auckland, North Shore Albany Ews",21/07/2014 23,5.3,24,D
"Auckland, North Shore Albany Ews",22/07/2014 23,6.2,24,D
"Auckland, North Shore Albany Ews",23/07/2014 23,7.1,24,D
"Auckland, North Shore Albany Ews",24/07/2014 23,6.7,24,D
"Auckland, North Shore Albany Ews",25/07/2014 23,5.3,24,D
"Auckland, North Shore Albany Ews",26/07/2014 23,7.1,24,D
